症状,草药
[246],"[121, 443, 445, 574, 593, 659, 699, 777]"
[367],"[58, 281, 699, 777]"
[367],"[519, 546, 666, 699, 777]"
[367],[777]
[367],"[633, 777]"
[344],[274]
[314],"[263, 421, 422, 604, 670]"
[308],"[467, 546, 547, 659, 688, 763]"
[321],"[255, 427, 429, 517, 525, 535, 604, 655, 659, 666, 670, 769]"
[210],[623]
[262],"[150, 467, 583, 730]"
[175],"[359, 577]"
"[242, 346]","[179, 659]"
[236],[677]
[199],[677]
[199],"[229, 516]"
[144],"[122, 433]"
[195],"[255, 605]"
[306],"[276, 436, 441, 442, 450, 546, 626, 655, 659, 666]"
[376],"[544, 545, 546, 548]"
[80],"[449, 532, 545, 547, 548, 549, 659]"
[271],"[37, 46, 219, 441, 463, 504, 604, 801]"
"[265, 286, 306]","[428, 633]"
[144],"[122, 433]"
[299],"[260, 507, 649, 658, 688]"
[326],"[393, 481, 520, 603, 611, 623, 661, 694, 732]"
[348],"[427, 438, 444, 504, 633, 641, 655, 659, 666, 677]"
[389],"[239, 438, 441, 449, 517, 633, 655, 666, 677]"
"[211, 286, 345, 349]","[198, 433, 438, 442, 546, 615, 633, 655, 659, 666]"
"[212, 290, 328, 367]","[121, 198, 387, 428, 430, 437, 438, 442, 546, 575, 615, 659]"
[147],"[212, 323, 387, 517, 546, 611, 640, 659, 666, 677]"
[290],"[434, 437, 438, 439, 441, 445, 546, 604, 659, 666]"
"[160, 290, 313, 348]","[239, 441, 444, 445, 490, 504, 507]"
"[246, 257, 276, 286, 376]","[209, 212, 255, 441, 442, 449, 546, 649, 659]"
[245],"[239, 441, 449, 450, 633, 649, 658]"
[299],"[260, 507, 649, 658, 688]"
[88],"[472, 475, 522, 523, 563, 564, 568]"
[348],"[275, 276, 387, 640, 659, 666, 677, 777]"
"[276, 314, 348, 367]","[253, 255, 276, 441, 517, 546, 604, 611, 640, 655, 659, 666, 677]"
[363],"[544, 546, 640, 649, 652, 659, 666, 677]"
[203],"[212, 425, 427, 441, 574, 605, 655, 659, 666]"
"[266, 328]","[233, 387, 555, 568, 640, 677, 688, 705, 710]"
[17],"[215, 427, 429, 430, 517, 577, 700, 705, 710]"
[208],"[37, 129, 212, 255, 525, 546, 640, 655, 659, 666, 677, 691]"
"[265, 363]","[55, 425, 546, 604, 605, 699, 729]"
"[241, 286, 306, 357]","[34, 208, 434, 436, 438, 439, 441, 442, 477, 478, 490, 492, 507, 508, 637, 638, 655, 659, 666, 705]"
"[57, 283, 357]","[212, 387, 425, 441, 490, 517, 546, 552, 593, 604, 611, 640, 659, 666, 676, 677]"
"[236, 290]","[196, 517, 604, 605, 640, 655, 659, 666, 670, 677]"
"[126, 286, 306]","[508, 655, 659, 666]"
[306],"[36, 196, 425, 430, 437, 441, 508, 546, 574, 605, 659, 666, 677]"
[203],"[442, 450, 495, 508]"
[305],"[707, 801]"
[197],[538]
[262],"[775, 790]"
[337],"[27, 212, 253, 254, 255, 256, 264, 422, 478, 546, 604, 625, 649, 684]"
[276],"[425, 441, 444, 456, 519, 546, 596, 597, 605, 659, 666, 729, 775]"
"[276, 286]","[196, 441, 444, 446, 456, 518, 519, 546, 596, 597, 605, 659, 666, 729, 775, 785]"
"[276, 345]","[55, 276, 441, 549, 574, 577, 605, 649, 666, 729, 763]"
[367],"[426, 429, 434, 441, 442, 492, 498, 507, 611, 625, 641, 659, 723]"
"[283, 304, 353]","[36, 546, 655, 659, 666]"
"[352, 363]","[85, 507, 517, 546, 641]"
[367],"[212, 604]"
[165],"[66, 256, 387, 525, 649, 677]"
[165],"[70, 196, 197, 249, 255, 276, 323, 423, 507, 546, 563]"
"[208, 367]","[212, 387, 425, 429, 444, 456, 490, 535, 546, 552, 593, 641, 659, 666, 677]"
[80],"[423, 544, 546, 604, 611, 688]"
"[346, 376]","[427, 446, 517, 546, 659, 677, 769]"
[14],"[211, 544, 545, 604, 611]"
"[147, 286, 306]","[84, 425, 507, 517, 546, 640, 655, 659, 666, 677]"
[207],"[546, 655, 659]"
"[283, 357]","[546, 604, 653, 666]"
[299],"[444, 450, 659, 666, 677, 769]"
[299],"[441, 517, 546, 659, 666]"
[286],"[207, 427, 441, 633, 653, 666]"
"[208, 308]","[276, 425, 444, 450, 546, 649, 652, 659, 666]"
[303],"[145, 255, 546, 659, 666, 677]"
[346],"[546, 659, 666, 711]"
[306],"[52, 208, 434, 438, 441, 546, 633, 666]"
[202],"[239, 666]"
[367],"[121, 212, 276, 442, 456, 659, 666, 676, 699, 711]"
[246],"[434, 508, 604, 605]"
[286],"[196, 477, 508, 655, 769]"
[354],"[438, 508, 605, 633, 641, 655, 659, 666]"
[222],"[508, 659, 666]"
[306],"[477, 508, 606]"
[299],"[63, 423, 503, 522, 523, 641, 677, 777, 792]"
[197],[582]
[242],[801]
"[286, 306]","[438, 485, 589, 605, 625, 659]"
[88],"[538, 573, 630]"
[306],"[677, 729, 784]"
[319],"[477, 490, 581, 583, 729, 745]"
[306],"[446, 449, 659, 729, 742]"
[306],"[446, 449, 659, 729, 742]"
"[196, 383]","[208, 308, 478, 490, 508, 646]"
[52],"[211, 255, 323, 423, 544, 546, 611]"
[80],"[109, 211, 423, 544, 546, 611]"
"[330, 363]","[203, 208, 436, 490, 621, 652]"
"[330, 363]","[203, 208, 436, 490, 621, 652]"
[314],"[437, 517, 575, 655, 670, 677]"
"[274, 369]","[426, 429, 557, 563, 568, 666]"
"[274, 369]","[426, 429, 557, 563, 568, 666]"
[308],"[209, 272, 449, 546, 659, 666, 740, 769, 777]"
[262],"[605, 659, 666, 705]"
"[14, 259, 345, 357]","[504, 546, 574, 659, 666]"
[211],"[276, 415, 429, 430, 546, 571, 649, 666]"
"[210, 266]","[145, 276, 430, 447, 546, 655, 659, 666]"
[367],"[212, 441, 546, 605, 611, 655, 659, 666]"
[367],"[286, 444, 456, 504, 546, 547, 626, 659, 666, 711, 799]"
[359],"[212, 441, 446, 449, 597, 604, 655, 659, 666]"
"[274, 348]","[605, 641, 655, 659, 666, 711]"
"[241, 276, 286, 306]","[423, 507, 508, 546, 605, 611, 640, 655, 659, 666, 677, 718]"
"[208, 367]","[286, 452, 463, 659, 666, 699, 711]"
[299],"[450, 666]"
"[274, 308, 328]","[423, 544, 546, 604, 611, 666]"
"[135, 293, 308]","[546, 640, 655, 666]"
[376],"[544, 546, 655, 666]"
[345],"[546, 604, 640, 655, 659, 666]"
"[274, 290]","[444, 490, 546, 640, 659, 666, 711]"
"[303, 349]","[666, 729]"
[294],"[514, 520, 640, 710]"
[369],"[427, 438, 441, 442, 554, 557, 563, 568, 655, 666]"
"[62, 303, 348]","[208, 425, 438, 467, 477, 490, 546, 604, 655, 659, 666, 711]"
[241],"[490, 492, 524, 637, 659, 666, 718]"
[246],"[73, 442, 490, 532, 544, 546, 547, 655, 666, 688, 799]"
[208],"[121, 275, 425, 441, 456, 478, 490, 517, 593, 640, 655, 659, 666, 677, 705]"
[312],"[427, 553, 666]"
[14],"[109, 666]"
[389],"[37, 426, 427, 429, 517, 557, 563, 568, 666]"
[199],[654]
[237],[659]
[369],"[538, 654, 784]"
"[206, 299, 382]","[507, 516]"
[389],"[639, 757]"
[299],"[96, 513]"
"[306, 363]","[508, 605]"
[325],"[606, 613]"
[299],"[96, 513]"
[308],"[276, 574, 659, 729, 769]"
[299],[516]
[328],"[109, 467, 477, 544, 548, 659, 729]"
"[195, 348, 372]","[255, 272]"
[28],"[427, 574, 700, 729]"
[231],"[468, 705]"
[88],"[659, 729]"
"[217, 367]","[226, 393, 444, 456, 504, 574, 659]"
[271],[772]
[197],[96]
[197],"[463, 707]"
"[80, 246]","[439, 477, 501, 507, 544, 547, 581, 729, 785, 786]"
"[306, 348]","[437, 441, 442, 546, 655, 659]"
[363],"[196, 263, 437, 438, 638, 655]"
[241],"[58, 425, 437, 442, 504, 611, 640, 649, 655]"
[299],[516]
[232],"[415, 538]"
[278],"[275, 276, 444, 452, 456, 544, 575, 649, 653, 777]"
[283],"[552, 653]"
"[266, 328]","[387, 688, 692]"
"[305, 367]","[202, 290, 446, 450, 504, 659, 688, 692, 699, 710, 777, 799]"
[193],"[109, 546, 688, 692]"
[193],"[149, 275, 276, 293, 444, 659, 775, 777, 802]"
"[313, 348]","[430, 705, 707]"
"[278, 299, 376]","[604, 633, 652, 653, 657, 659, 740, 769]"
[371],[729]
[237],"[275, 276, 777]"
[193],"[423, 546, 611, 621, 628, 645, 655]"
[367],"[121, 212, 442, 443, 449, 546, 574, 659, 775, 777]"
"[283, 349, 367]","[216, 276, 286, 290, 456, 645, 699, 763, 777]"
[367],"[275, 276, 281, 666, 777]"
"[193, 283, 367]","[275, 276, 393, 444, 659, 666, 677, 700, 742, 777]"
"[306, 348]","[437, 441, 442, 546, 655, 659]"
[363],"[196, 263, 437, 438, 638, 655]"
[57],"[150, 272, 467]"
[88],"[103, 274]"
[232],"[415, 538]"
"[214, 241, 286]","[449, 494, 638]"
"[14, 203, 286, 306, 367]","[437, 438, 441, 546, 659]"
[241],"[436, 437, 438, 439, 441, 442, 449, 494, 546, 637, 638]"
[363],"[438, 441, 442, 546, 659]"
[367],"[212, 441, 442, 517, 546, 597, 640, 659, 666, 676, 677]"
[363],"[437, 507, 705]"
[203],"[441, 444, 450, 504, 546, 659]"
"[286, 306]","[66, 441, 445, 449, 546, 659]"
[262],"[372, 427, 441, 442, 444, 446, 449, 460, 546, 557, 574, 705, 758]"
[306],"[441, 442, 546, 655, 666]"
[335],"[66, 441, 546, 659]"
[295],"[437, 633, 655]"
[237],"[275, 276, 777]"
[367],"[121, 212, 442, 443, 449, 546, 574, 659, 775, 777]"
[175],"[125, 359, 546, 659, 677, 771]"
[328],"[109, 544, 545, 546, 575, 653, 659, 688]"
[124],[448]
[57],"[150, 272, 467]"
[88],"[103, 274]"
"[214, 241, 286]","[449, 494, 638]"
[241],"[436, 437, 438, 439, 441, 442, 449, 494, 546, 637, 638]"
[197],[775]
[367],"[212, 441, 442, 517, 546, 597, 640, 659, 666, 676, 677]"
[262],"[372, 427, 441, 442, 444, 446, 449, 460, 546, 557, 574, 705, 758]"
[306],"[441, 442, 546, 655, 666]"
"[319, 367]","[194, 475, 730]"
"[241, 306, 357]","[208, 436, 477, 490, 508, 605, 611, 625, 659]"
[165],"[194, 196, 203, 296, 434, 463, 475, 483, 496, 597, 605, 705, 708]"
[352],"[467, 507, 575, 619, 640, 655, 705]"
[165],"[507, 575, 640, 655]"
[212],"[129, 434, 438, 465, 542, 546]"
"[208, 272]","[546, 653]"
[197],[775]
[337],"[167, 208, 209, 276, 425, 444, 477, 478, 490, 504, 517, 546, 552, 593, 640, 659, 666, 677, 705, 710, 718]"
"[241, 269]","[37, 73, 193, 197, 436, 438, 442, 478, 490, 508, 546, 603, 604, 606, 611, 621, 633, 638, 655, 659, 666, 715]"
[352],"[467, 507, 575, 619, 640, 655, 705]"
"[94, 325, 348, 363]","[94, 556, 729, 801]"
"[123, 337]","[255, 272, 323, 429, 516, 517, 633, 677, 705, 718, 769]"
"[194, 245]","[441, 442, 457, 546, 659]"
[314],"[10, 70, 140, 196, 211, 507, 537, 745]"
"[165, 222, 265, 344]","[85, 211, 212, 255, 323, 429, 436, 477, 490, 525, 544, 546, 604, 605, 641, 652, 655, 666, 675, 677, 691, 705, 708]"
"[147, 259, 267]","[212, 230, 387, 425, 439, 441, 442, 444, 477, 490, 498, 517, 546, 552, 593, 611, 626, 640, 659, 666, 676, 677]"
[295],"[467, 742]"
[367],"[444, 699, 711]"
"[241, 286, 295, 306]","[467, 633]"
[246],"[501, 541, 544, 729, 784, 785, 786]"
[242],"[37, 46, 441, 563, 568, 589, 604, 605, 666]"
[299],"[272, 457, 537, 716, 736, 800]"
"[241, 269]","[37, 73, 193, 197, 436, 438, 442, 478, 490, 508, 546, 603, 604, 606, 611, 621, 633, 638, 655, 659, 666, 715]"
[151],"[239, 436, 517, 640, 655, 666, 675]"
[294],"[511, 516, 736]"
[299],"[323, 512, 729, 737, 755]"
[299],"[512, 729, 731, 737, 755]"
"[206, 278, 299]","[96, 516, 710, 736, 770]"
"[165, 222, 265, 344]","[85, 211, 212, 255, 323, 429, 436, 477, 490, 525, 544, 546, 604, 605, 641, 652, 655, 666, 675, 677, 691, 705, 708]"
"[106, 125]","[180, 429, 437, 442, 444, 589, 604, 605, 611, 659]"
[267],"[34, 160, 387, 436, 442, 467, 477, 490, 492, 507, 517, 666, 677, 723, 773]"
[267],"[34, 99, 160, 436, 442, 477, 490, 492, 507, 508, 517, 718, 723, 773]"
[175],"[472, 508, 522, 523, 538, 607, 654, 677, 705, 772, 791]"
[269],"[70, 85, 193, 253, 263, 485, 490, 536, 604]"
"[14, 312]","[211, 212, 255, 323, 422, 423, 544, 546, 604, 611]"
"[208, 267]","[203, 256, 438, 604, 605, 611, 649]"
[294],"[28, 253, 255, 423, 507, 525, 546]"
[196],"[423, 546, 640, 649, 652, 653, 655, 666, 670, 675, 677]"
[197],"[522, 523, 538, 573, 574, 575, 644, 705, 792]"
"[14, 193, 246]","[501, 785, 786]"
[62],[103]
[267],"[34, 160, 387, 436, 442, 467, 477, 490, 492, 507, 517, 666, 677, 723, 773]"
[14],[702]
[290],"[239, 444, 517, 546, 640, 655, 658, 677]"
[276],"[198, 212, 423, 436, 444, 546, 655, 659]"
[197],"[275, 276, 323, 387, 640, 659, 666, 677, 777]"
"[193, 246]","[55, 121, 472, 477, 501, 540, 544, 612, 784, 785, 786]"
"[247, 269, 363]","[84, 442, 478, 490, 498, 507, 508, 544]"
[363],"[477, 478, 492, 496, 504, 546]"
[262],"[65, 200, 230, 296, 426, 430, 434, 438, 463, 472, 475, 478, 483, 490, 508, 517, 519, 522, 523, 538, 539, 540, 547, 571, 597, 654, 677, 699, 705, 708, 748, 769]"
[88],"[478, 483, 503, 508]"
[88],"[472, 475, 522, 523, 563, 564, 568]"
[371],"[201, 467, 472, 522, 574, 575, 577, 761, 791]"
[332],"[309, 437, 468, 472, 475, 601, 654, 763]"
"[313, 348, 367]","[430, 442, 507, 517, 641, 659, 705, 711]"
[389],"[427, 429, 437, 441, 442, 449, 507, 517, 546, 563, 588, 593, 597, 655, 659, 677, 705, 710, 769, 775]"
"[308, 328]","[73, 444, 517, 520, 547, 641, 758]"
[351],"[211, 467, 472, 516, 544, 574, 575, 597, 666, 711, 729]"
[348],"[293, 427, 517, 557, 574, 659, 705, 710, 758, 771]"
[262],"[426, 429, 522, 523, 588, 589, 604, 677]"
[389],"[441, 442, 490, 492, 507, 605, 655, 659, 666, 677]"
[204],"[255, 427, 517, 546, 604, 611, 640, 655, 677]"
[89],"[196, 208, 434, 441, 468, 478, 490, 508, 633]"
[363],"[436, 439, 441, 442, 477, 492, 626, 639, 718, 723]"
[138],"[427, 437, 588, 589, 633, 707]"
"[262, 325, 348]","[96, 508, 597, 599, 603]"
[138],"[167, 233, 426, 427, 429, 517, 557, 588, 589, 677]"
[363],"[478, 490, 508, 517, 523, 718, 723, 784]"
[204],"[255, 427, 517, 546, 604, 611, 640, 655, 677]"
[344],"[425, 430, 490, 492, 517, 640, 655, 659, 666, 677]"
"[201, 207, 208, 349, 358, 376]","[212, 255, 276, 517, 546, 611, 640, 655, 659, 666, 677]"
[138],"[167, 233, 426, 427, 429, 517, 557, 588, 589, 677]"
[363],"[478, 490, 508, 517, 523, 718, 723, 784]"
[246],"[239, 293, 517, 546, 633, 640, 655, 657, 666, 677]"
"[290, 376]","[525, 546, 640, 655, 666, 670, 675, 677]"
[344],"[211, 212, 276, 421, 442, 517, 525, 574, 577, 655, 659, 666, 677]"
"[299, 349, 367, 372]","[507, 518, 640, 659, 688, 692, 727, 736]"
"[349, 367]","[349, 472, 478, 504, 546, 651, 659, 761]"
"[306, 349, 367, 369]","[423, 478, 504, 546, 651, 659]"
"[332, 376]","[423, 518, 652, 653, 718, 723, 763, 777]"
[337],"[28, 33, 145, 255, 323, 423, 507, 511, 517, 521, 640, 655, 666, 677]"
"[10, 338]","[427, 428, 429, 517, 574, 604, 640, 659, 666, 677, 710]"
[197],[652]
[262],"[459, 460, 522, 523, 570, 797]"
[279],"[416, 599, 679, 699]"
[279],"[416, 599, 679, 699]"
[306],"[423, 546, 628, 655, 666]"
[197],"[215, 229, 467, 472, 522, 538, 575, 705, 732, 748, 792]"
[367],"[537, 800]"
[262],"[475, 508, 719]"
[295],"[445, 467, 655]"
[286],"[441, 472, 477]"
[295],"[441, 442, 467]"
[363],"[472, 490]"
[363],"[472, 490]"
[245],"[666, 763, 775]"
[328],"[437, 504, 777]"
[348],"[577, 659]"
[329],"[523, 651]"
"[242, 314, 363]","[611, 677]"
"[348, 389]","[427, 431, 757]"
[197],[707]
[88],[729]
[348],[174]
"[348, 389]","[431, 503]"
"[348, 389]","[431, 503]"
"[14, 313]","[211, 275, 427, 546, 574, 604, 655, 659, 677, 711]"
"[363, 375]","[83, 147, 318, 454, 475, 621, 729]"
"[266, 328]","[233, 387, 555, 568, 640, 677, 688, 705, 710]"
"[133, 315]","[121, 387, 425, 444, 456, 546, 548, 574, 655, 659, 666, 677, 769, 775, 777]"
[363],"[208, 508]"
"[241, 286, 306, 363]","[34, 208, 475, 477, 478, 490, 492, 508, 546, 605, 611, 655, 659, 666]"
[286],"[208, 478, 508, 666]"
[306],"[208, 508, 604, 606]"
[369],[604]
[322],"[508, 604, 633]"
[279],"[474, 522, 523, 573, 791]"
[306],"[36, 197, 434, 508, 546, 603, 604, 655, 659, 666]"
"[241, 286, 306, 363]","[430, 475, 478, 483, 496, 503, 508]"
[354],"[490, 508, 546, 605, 606, 655, 666, 677]"
[330],"[50, 158, 404, 490, 508, 529, 604, 605, 718, 723, 729, 761]"
[266],"[508, 556, 654, 659]"
"[274, 369]","[37, 150, 194, 349, 415, 472, 475, 654, 730, 773]"
[269],"[477, 490, 508, 537, 655]"
"[241, 286, 322, 330]","[50, 404, 490, 492, 508, 529, 604, 605, 611, 718, 723, 729, 745]"
[363],"[485, 508, 606, 659]"
[241],"[194, 196, 468, 475, 508, 604, 605, 699]"
[241],"[212, 441, 459, 504, 508, 605, 651, 659, 666]"
[286],"[208, 433, 441, 477, 490, 508]"
"[94, 286]","[468, 475, 490, 508, 530, 784]"
"[94, 286]","[468, 475, 490, 508, 530, 784]"
[262],"[151, 438, 508, 587]"
[369],"[441, 508]"
[271],"[475, 508, 730]"
[363],"[208, 468, 508, 604, 606]"
"[286, 363]","[99, 208, 508, 784]"
"[348, 363]","[492, 508, 611, 626, 723, 784]"
[306],"[434, 490, 508, 605, 606, 659]"
[309],"[508, 659, 705]"
"[237, 322]","[508, 800]"
"[274, 348, 367]","[446, 508, 597, 604, 655, 659, 711]"
[309],"[463, 507, 508]"
[354],"[196, 197, 438, 477, 508, 633, 666, 677]"
[322],"[52, 508, 666]"
[306],"[434, 438, 441, 504, 508, 546, 605, 633, 655, 659, 666]"
[306],"[36, 208, 434, 508, 638, 655, 659, 666, 677]"
"[203, 266]","[34, 508]"
[89],"[340, 434, 508, 556, 666]"
[89],"[52, 428, 475, 490, 508, 546, 659, 666]"
"[89, 266]","[276, 508, 659, 666]"
[306],"[438, 444, 508, 633, 655, 659, 666]"
[203],"[495, 508, 659]"
[203],"[495, 508, 659]"
[306],"[434, 508, 666]"
[306],[508]
[306],"[433, 490, 508, 546, 605, 659]"
[322],"[468, 508]"
[109],[508]
[348],"[431, 508, 705]"
[325],"[36, 508, 588, 597, 705]"
[80],"[475, 508, 588, 589, 597, 606, 705]"
[247],"[436, 508, 655]"
[306],"[508, 605, 655]"
[348],"[508, 611]"
[306],"[441, 508]"
[286],"[481, 508]"
[363],"[208, 475, 477, 478, 490, 492, 508, 522, 603, 606]"
[354],"[264, 441, 508, 530, 546, 666, 699, 784]"
"[241, 357]","[264, 441, 508, 530, 546, 666, 699, 784]"
"[241, 357]","[34, 478, 490, 508]"
[306],"[434, 508, 604, 652]"
"[241, 286, 322, 330]","[198, 441, 445, 508, 546, 655, 659]"
"[286, 306]","[34, 193, 208, 441, 442, 490, 508, 638, 655, 659, 666]"
"[306, 357]","[193, 434, 446, 475, 477, 478, 481, 490, 504, 508, 621, 666, 677, 718, 769]"
"[217, 348]","[48, 196, 438, 508, 611, 621, 659, 711, 729, 769]"
[241],"[197, 208, 441, 444, 477, 508, 546, 605, 633, 655, 659, 666, 705]"
[222],"[194, 483, 621, 732]"
[222],"[99, 208, 508, 523]"
[306],"[442, 492, 508, 604, 605, 655, 659, 666]"
"[306, 363]","[438, 442, 492, 508, 605, 655, 666, 705]"
[203],"[508, 604, 605, 655, 659, 666]"
[363],"[239, 442, 492, 508, 604, 605, 666]"
[135],"[508, 589, 604, 606]"
[135],[508]
[203],"[434, 441, 442, 508, 546, 659]"
[202],"[508, 666]"
"[241, 306]","[226, 436, 490, 508, 524, 605, 638, 659, 666]"
"[241, 306]","[433, 441, 508, 659, 723]"
"[236, 306, 367]","[441, 490, 508, 605, 606]"
"[236, 306, 367]","[441, 442, 463, 490, 492, 508, 546, 605, 655]"
[363],"[485, 508, 659]"
[363],"[508, 606, 626, 784]"
"[323, 367]","[433, 475, 496, 546, 626, 659, 666]"
"[286, 306]","[34, 208, 436, 444, 490, 508, 546, 611, 659, 666]"
[276],"[36, 52, 208, 434, 468, 478, 490, 508, 604, 611, 633]"
[363],"[436, 438, 508, 633, 655, 659]"
[286],"[434, 508, 524, 611, 659]"
[308],"[208, 212, 478, 508, 568, 606, 655]"
[306],"[34, 197, 437, 438, 444, 508, 596, 605, 633, 640, 655]"
