herb1,herb2,causal_effect
51,621,-0.02095368
52,32,-0.021244574
52,225,0.021468416
52,275,-0.02055658
52,432,0.021424139
52,553,0.02543208
52,672,0.020500826
53,177,0.020430302
53,384,0.020799046
53,507,0.02074821
53,668,0.024437433
53,700,0.020975243
53,714,0.021068135
53,737,-0.023270445
54,204,0.02363676
54,224,-0.025880681
54,318,0.023188585
54,368,0.021315267
55,209,-0.020524878
55,247,0.022335453
55,322,-0.027966328
55,495,-0.022782074
55,519,-0.020971656
55,588,0.023274561
55,594,0.02074327
55,668,0.020257507
55,676,-0.02873484
56,134,0.02320959
56,202,0.03241109
56,263,-0.030396806
56,312,0.02008571
56,356,-0.026870038
56,473,0.020670222
56,645,0.029462077
56,751,0.02555742
57,18,0.0217037
57,52,-0.026522374
57,111,-0.02327699
57,137,-0.020233423
57,185,-0.021826189
57,191,-0.020339532
57,224,-0.02230863
57,358,-0.023757653
57,515,0.0250717
57,792,-0.02325934
58,138,-0.022239981
58,592,0.020879902
58,674,-0.022341361
58,732,0.024678957
58,780,-0.026075665
58,781,0.022677425
58,801,0.020224925
59,794,0.022222685
60,4,-0.022066588
60,48,0.020540643
60,88,0.022098642
60,189,0.021596057
60,305,0.02151868
60,455,0.020018421
60,530,-0.022818444
60,539,-0.024700737
61,75,0.023087604
61,424,-0.021955252
61,513,-0.021335049
62,69,0.025348019
62,275,0.023653362
62,284,0.028460631
62,763,-0.02000639
62,782,-0.024157459
63,217,0.022365728
63,256,0.022506198
63,400,-0.021079475
64,79,-0.021231517
65,18,-0.020443058
65,20,0.021548087
65,66,-0.021205971
65,115,0.022349752
65,254,-0.032633223
65,346,0.025265986
65,462,0.02293599
66,167,-0.02022234
66,183,-0.020287488
66,313,0.02044515
66,345,-0.023123065
66,500,-0.03210186
66,580,0.020302325
66,624,-0.020303586
67,58,-0.024416054
67,423,0.020002233
67,484,0.022814205
67,503,0.021775534
67,546,0.029738855
67,783,0.022632778
68,236,0.020000383
68,431,0.030118885
69,2,-0.020246794
69,344,0.022392819
69,351,0.024384143
69,364,-0.027049424
69,367,0.02105347
69,378,0.032030627
69,459,-0.031656995
69,471,0.023726592
69,515,0.023649173
69,522,0.020071222
69,562,-0.023240902
69,690,0.022481019
69,702,0.023145827
70,310,-0.025950147
71,56,0.03027545
71,145,-0.023557723
71,166,-0.020903356
71,200,-0.022206599
71,249,-0.023764502
71,344,0.02075037
71,367,-0.022025462
71,428,-0.02000006
71,523,0.021506097
71,568,-0.028544884
71,601,-0.020534195
71,635,0.02016787
71,721,0.020036828
71,733,-0.02082117
73,9,-0.021563374
73,226,-0.024041533
73,273,-0.022130106
73,402,-0.022653766
73,451,0.021399902
73,480,0.02087198
73,602,-0.021351092
73,650,0.022838451
73,678,0.02959517
73,722,0.02041828
73,784,-0.03572627
74,62,0.022931784
74,228,-0.020485558
74,265,-0.021775387
74,299,-0.020645004
74,363,0.021110658
74,496,0.022788702
74,565,-0.022706036
74,619,-0.023225114
74,622,-0.02057219
74,747,0.020355534
75,17,-0.030630987
75,66,0.021645347
75,101,-0.021657169
75,106,-0.02379284
75,139,-0.02196052
75,170,-0.020541992
75,195,-0.02457404
75,396,-0.029438088
75,410,0.021613738
75,439,0.021466818
75,440,0.020777196
75,541,0.022743728
75,731,-0.021488668
76,376,0.021277098
76,413,-0.020514594
76,559,0.021939842
76,626,-0.022804659
76,698,-0.027170544
76,778,-0.024077576
77,156,-0.024633596
77,234,0.023373472
77,469,0.020470822
77,692,0.023904303
77,788,-0.022503592
78,143,0.025989972
78,270,-0.021878617
78,339,0.022643503
78,722,0.020420652
78,730,-0.0200067
78,772,-0.025256274
79,38,0.023444962
80,27,-0.026165185
80,56,-0.026271133
80,73,0.026784746
80,172,0.022440309
80,300,0.02209854
80,390,0.028413491
80,776,-0.023689784
81,5,-0.026582288
81,58,-0.021841565
81,66,-0.022415552
81,114,-0.020344365
81,150,-0.027644726
81,510,-0.02143179
81,514,-0.02127037
81,654,-0.02100736
81,703,-0.020687772
81,743,0.024809977
81,747,-0.026666785
82,22,-0.025901351
82,431,0.026814168
83,33,0.026318496
83,90,0.024253834
83,117,-0.022402553
83,143,0.021143071
83,253,-0.020160358
83,425,0.028436743
83,477,-0.022509113
83,482,0.020357128
83,617,0.021141963
83,621,0.023158798
83,635,-0.020984346
83,691,0.020559734
84,306,-0.024849983
84,387,0.028000988
84,396,-0.021917539
84,437,-0.022109058
84,480,0.021534834
84,679,0.022329597
84,687,-0.020019408
85,58,-0.022093141
85,202,-0.02110295
85,444,0.025690688
85,536,-0.025490064
85,651,-0.024563108
85,652,-0.022242663
86,31,0.023479113
86,170,-0.025502918
86,209,0.020170178
86,346,-0.020334557
86,472,0.020254273
86,492,-0.020034326
86,606,-0.029110486
86,630,0.020114265
86,693,-0.020905338
87,17,0.024637114
87,112,-0.023239953
87,116,0.022115598
87,131,0.023785783
87,249,0.025396261
87,616,-0.020531945
87,647,0.022483494
88,73,-0.021907417
88,216,0.022963371
88,319,-0.023542061
88,416,0.023862364
88,611,-0.020404447
88,616,0.02019368
88,705,0.021658698
88,772,-0.023557954
89,211,-0.024600223
89,275,0.021653702
89,723,0.025634907
89,782,-0.022688357
90,71,-0.022119997
90,166,0.020227987
90,239,-0.0218738
90,384,0.021735545
90,426,0.020508042
90,567,-0.021191264
90,596,0.021744914
90,621,-0.026466971
91,57,0.020222215
91,84,-0.021428652
91,297,-0.021040414
91,311,-0.021058397
91,700,-0.026607933
91,766,-0.024907323
91,788,-0.02023284
92,37,-0.02307013
92,337,-0.02161659
92,540,-0.024331398
92,545,0.027383154
92,567,-0.026619677
92,674,-0.020151349
93,85,-0.022109749
93,125,-0.020744665
93,270,-0.027435308
93,357,0.02258391
93,360,0.025143044
93,415,-0.020962968
93,434,0.020240787
93,469,0.026502157
93,502,-0.025929209
93,558,0.021634687
93,781,0.02230219
93,796,-0.024150167
94,239,-0.025847793
94,353,-0.022127137
95,390,0.024681984
95,436,-0.022728521
95,611,0.02165501
95,695,0.02141435
95,704,-0.024210874
95,708,-0.028889133
95,743,0.022548137
96,255,0.025471618
97,294,-0.020513428
97,698,-0.021014908
97,776,-0.02402459
97,781,-0.025649214
98,177,-0.024656897
98,451,-0.020460613
98,558,0.02046246
98,612,0.022551415
98,691,-0.031496685
99,16,-0.020806892
99,69,0.023358312
99,191,0.02588903
99,267,0.034657624
99,331,0.02050551
99,442,-0.02574285
99,469,0.02781228
99,514,-0.020849504
99,575,-0.02783469
99,632,-0.021401795
99,649,0.020919403
99,704,0.027760245
99,712,-0.021526113
99,752,0.020565763
99,779,0.023633532
99,786,-0.026962372
100,387,0.023176266
100,411,0.02754724
100,446,0.020822775
100,479,-0.02062697
100,533,-0.021086322
100,579,0.025592111
100,621,0.027481489
100,630,0.020642107
100,669,-0.021695694
100,671,0.020987723
100,714,0.020582257
101,80,0.025007043
101,139,0.024807911
101,193,0.020299342
101,375,-0.023164313
101,377,-0.02320613
101,564,-0.022748584
101,700,0.025187548
101,712,0.026462693
102,215,0.02124943
102,362,0.02249405
102,491,-0.022823831
103,30,-0.020702455
103,118,-0.025677731
103,270,-0.022688964
103,325,-0.020197535
103,443,0.022824967
103,491,-0.024564652
103,508,-0.020964408
103,659,0.021492505
103,679,-0.020208934
104,51,0.020839253
104,55,0.023220541
104,62,0.022597598
104,180,-0.022899957
104,237,0.022530025
104,255,-0.021696664
104,413,0.020267718
104,535,-0.029911492
104,609,0.021687588
104,620,-0.020846084
104,663,-0.02992566
104,797,-0.0204616
104,804,-0.031968147
105,18,0.021585599
105,31,0.020541433
105,33,-0.025153594
105,191,0.020704292
105,209,0.021924738
105,248,0.021988338
105,278,0.021478092
105,393,0.0254355
105,511,0.021074653
105,579,-0.030583749
105,730,0.024829745
106,59,0.025218459
106,417,0.02094219
106,435,0.024656132
106,703,0.023405908
106,723,0.02737422
108,556,-0.02383565
108,634,0.02032272
109,7,0.021661345
109,196,0.02282991
109,266,0.021918658
109,419,0.020909803
109,582,-0.020095022
110,656,0.02523561
111,177,-0.02079771
111,371,-0.02145482
111,559,-0.021797918
112,27,0.024030808
112,132,-0.020009208
112,763,-0.024748048
112,802,-0.02672244
113,90,0.021507448
113,150,0.020397175
113,172,0.020580463
113,201,-0.022695666
113,230,-0.021115366
113,264,-0.022055741
113,287,-0.0215017
113,291,0.020142063
113,296,0.021965047
113,333,-0.020959338
113,377,0.020035015
114,122,0.021831851
114,248,0.023832895
114,262,-0.023388566
114,281,0.023648357
114,342,0.020633068
114,346,0.021647763
114,522,0.020516772
114,663,0.024754738
114,683,-0.020207912
114,696,0.02410639
115,81,-0.021572199
115,155,-0.02023616
115,418,0.023057746
115,614,-0.027791811
116,11,-0.026847014
116,48,0.020132622
116,74,0.024629751
116,90,0.023185613
116,98,0.022502199
116,149,0.025265144
116,199,0.022906378
116,237,0.02231329
116,338,-0.020189397
116,446,0.021839676
116,798,-0.02078543
117,37,-0.020701712
117,126,-0.03208341
117,190,-0.02204228
117,384,0.021919366
117,583,0.02256728
117,589,-0.022287449
117,657,-0.024865236
117,702,-0.020478979
118,30,0.02038594
118,33,0.024059413
118,34,0.023615949
118,62,0.02489229
118,367,0.02048295
118,370,-0.020683916
118,424,0.021522766
118,513,-0.02131339
118,589,0.021244293
118,672,-0.024254043
119,646,-0.024898862
120,149,0.021116713
120,167,-0.021091864
120,785,0.025991565
121,61,-0.02442585
121,71,-0.021653814
121,317,0.023971193
121,574,-0.025776068
122,5,-0.030655269
122,19,0.020398615
122,182,-0.027351711
122,668,0.02101739
122,705,0.022139614
123,179,0.02889429
123,301,-0.021764679
123,380,-0.026009034
124,436,-0.02401721
125,302,0.020360867
125,597,0.024605598
125,651,-0.022528669
125,660,0.023497049
125,796,-0.026082095
126,60,-0.02134142
126,251,-0.02181828
126,555,-0.024633018
126,722,0.021785196
127,19,0.020013994
127,49,-0.027483124
127,73,-0.02358602
127,93,-0.02020082
127,185,-0.02223466
127,272,-0.023500048
127,308,0.020859724
127,415,-0.022709165
127,446,0.020414013
127,568,0.020301607
128,107,0.027265925
128,124,0.020948512
129,537,0.02289577
130,237,0.022207448
130,318,-0.024132907
130,577,-0.020285506
130,593,-0.028948288
130,621,0.026305856
130,636,-0.020363381
131,358,-0.024275223
131,412,0.021026082
131,505,0.020586353
131,612,-0.024112068
131,679,0.023905527
131,689,-0.027174462
131,690,0.026278913
132,51,0.021037718
132,62,-0.020916687
132,92,-0.034868497
132,130,-0.023435364
132,255,0.022475792
132,270,-0.021110486
132,395,-0.021203052
132,433,0.021337321
132,458,-0.025979228
132,517,0.020364933
132,636,0.022909991
132,747,0.02107
133,16,0.020202532
133,33,-0.020221652
133,356,0.028414866
133,426,0.025405925
134,9,0.022426354
134,130,0.029144673
134,262,0.020525564
134,312,-0.020405298
134,492,-0.026157372
134,612,-0.021557031
134,713,0.022857111
134,785,0.022655861
135,3,-0.020640457
135,151,-0.02260025
135,198,-0.02610096
135,322,-0.02610509
135,331,0.020254878
135,339,-0.022467598
135,522,0.027312595
135,712,-0.020906283
136,12,-0.020590464
136,249,-0.021562438
136,303,-0.022964207
136,405,0.023936754
136,446,-0.022874542
136,542,-0.025071535
136,574,0.020087754
136,577,-0.020459754
136,649,0.020692676
136,754,-0.024993593
137,107,0.020708945
137,309,-0.023004912
137,651,0.02955835
137,713,0.033179957
138,0,0.021414066
138,51,0.020830065
138,174,0.021739798
138,266,0.020162813
138,427,-0.020035496
138,495,0.021247126
138,640,-0.022733035
139,31,0.026061937
139,133,0.020940019
139,259,0.023359729
139,421,-0.020373216
139,462,0.03294195
139,648,-0.033372156
139,706,-0.023570318
139,713,-0.022315612
139,798,-0.02637166
140,3,-0.024889791
140,11,-0.020022724
140,189,0.023872722
140,337,-0.021112245
140,367,0.020100353
140,376,0.021331843
140,504,-0.025075141
140,740,0.022096422
140,773,0.024257332
140,785,-0.02146768
141,88,-0.025996227
141,117,0.020483373
141,253,0.020693954
141,266,-0.02224062
141,330,0.029087942
141,340,-0.026808718
141,365,-0.02125234
141,453,0.026403634
141,502,0.023894964
141,505,0.020094274
141,578,0.020359376
141,789,-0.023605902
142,19,-0.024541099
142,183,0.028831076
142,265,0.029390998
142,297,-0.020500325
143,0,0.02471415
143,30,0.021061748
143,65,-0.024643166
143,90,-0.028639425
143,136,0.024824925
143,141,-0.022104293
143,195,-0.0201593
143,273,-0.021439778
143,376,-0.023004547
143,395,-0.030162863
143,410,0.020881876
143,421,-0.020795345
143,428,-0.020811751
143,514,-0.021237327
143,591,0.020530054
143,772,0.02553597
144,80,0.023902101
144,317,0.02131854
144,616,0.021256363
145,115,-0.020308357
145,167,0.021951556
145,245,-0.023751074
145,293,0.026859563
145,451,-0.022127427
145,464,0.02251544
145,561,-0.021587253
145,567,0.02250282
145,586,-0.020775907
146,438,0.025616208
147,154,0.020326763
147,377,-0.021388466
147,439,0.024136908
147,473,-0.021041567
147,535,0.022832818
147,675,0.021452768
147,712,0.022924822
147,766,0.023640368
148,55,-0.022806447
148,224,-0.023915228
148,258,0.020878278
148,316,0.021971842
148,476,0.02155516
148,572,0.02042791
148,614,0.022849688
148,649,-0.023672601
149,34,-0.022622956
149,101,-0.02249828
149,473,0.022424256
149,484,0.02044286
149,494,0.022028191
149,762,-0.022661913
150,19,-0.023378449
150,56,0.03547195
150,83,0.025198692
150,143,0.024993917
150,178,-0.027620014
150,203,0.02370834
150,254,0.02249645
150,303,0.02389833
150,378,-0.025675107
150,429,-0.021199789
150,454,0.02028713
150,516,-0.021953713
150,558,-0.027612928
150,587,0.021352144
150,594,0.022974093
150,684,-0.021953579
150,732,0.024969002
150,772,0.020378234
150,776,-0.02477024
151,189,0.021936629
151,285,0.026001606
151,385,0.022659685
151,404,-0.024112433
151,412,-0.024203492
151,567,-0.0273406
151,619,-0.020970464
151,740,0.021623775
151,764,-0.020631434
152,44,0.022860216
152,197,-0.026901953
152,537,-0.020777045
153,64,-0.020962708
153,506,0.026805578
154,187,0.021053543
154,233,-0.023698019
154,249,-0.021460451
154,297,0.024132917
154,303,-0.025202239
154,365,0.02054017
154,376,-0.020507487
154,377,-0.023214838
154,398,-0.022494698
154,473,0.02644362
154,606,-0.024001831
154,797,0.02039215
155,45,-0.02027524
155,181,0.02431525
155,315,0.020022206
155,780,-0.02106854
156,340,0.023873804
156,346,0.02348806
156,494,-0.024306107
156,653,-0.020319091
156,685,-0.028861996
156,710,0.02016743
157,463,0.024514725
157,738,-0.022817679
158,12,-0.020028079
158,29,-0.028613688
158,105,-0.020138666
158,283,0.026800863
158,442,-0.021690622
158,518,-0.021564355
158,598,0.020508794
158,699,0.021193838
159,18,-0.020442879
159,284,0.020663615
159,335,-0.027022252
161,3,0.022113686
161,61,0.027787914
161,139,-0.020256072
161,257,0.026202401
161,371,-0.020871658
161,424,-0.022066481
161,443,-0.020999463
161,486,0.020218845
161,591,0.020872096
161,752,-0.023382708
161,781,-0.022204721
162,170,-0.027254745
162,279,-0.026257543
162,300,0.022769885
162,307,0.02522797
162,443,0.02463625
162,493,0.022948535
162,536,-0.023057487
162,690,-0.020991005
162,798,-0.021528183
163,65,-0.020549528
163,637,-0.023084367
163,682,-0.020998143
163,759,-0.020296475
164,73,0.022706585
164,415,-0.025444321
164,496,-0.033106886
164,696,0.020983793
164,732,-0.028594984
164,791,0.024661724
165,25,-0.020230224
165,209,0.020580383
165,375,-0.0315587
165,526,-0.0260881
165,613,0.021816915
166,16,0.024290688
166,36,0.024183631
166,184,-0.020024093
166,638,-0.02316956
166,648,-0.020523956
166,770,0.021262199
167,54,-0.020967862
167,174,-0.020236088
167,178,-0.021198517
167,280,0.023312341
167,369,-0.020975303
167,454,-0.02064035
167,579,-0.020376103
167,588,-0.02024966
167,648,-0.02004856
167,762,0.023834476
167,766,-0.025502142
168,111,0.02010331
168,651,0.020719873
168,652,-0.028835772
169,40,-0.020026552
169,215,-0.02281926
169,541,0.024155155
169,561,0.030361235
169,624,0.022815283
169,739,-0.02500228
170,3,-0.023028186
170,19,-0.02317439
170,30,0.029871838
170,93,0.020451684
170,113,0.020488316
170,154,0.02020021
170,230,-0.030965194
170,241,-0.024448661
170,245,0.020289758
170,313,0.020636737
170,322,-0.021496953
170,617,0.02139108
170,721,-0.020099856
171,60,0.021712828
171,106,0.020877719
171,423,0.0281488
171,468,0.029253582
171,720,-0.022583395
172,11,-0.020591175
172,109,-0.026999187
172,166,0.02129568
172,230,0.029313078
172,327,-0.021158082
172,378,0.022084072
172,446,0.024114093
172,747,-0.022589527
173,6,-0.02217025
173,210,0.026107486
173,306,0.021142634
173,694,0.020552464
173,789,-0.021067088
174,20,-0.023833336
174,31,-0.023280168
174,249,0.021449538
174,265,-0.021339526
174,339,-0.02660473
174,429,-0.0200327
174,695,-0.02411446
174,698,0.021391854
174,714,-0.021063097
175,116,0.024335131
175,337,-0.025956612
175,598,-0.027369488
175,724,0.0223759
175,751,0.023164503
176,634,-0.023542704
177,19,0.021029867
177,37,0.022284474
177,189,-0.027198305
177,252,0.020989146
177,366,0.020572996
177,388,-0.024350451
177,389,-0.021501627
177,501,0.020125179
177,623,-0.020429762
177,668,-0.02128347
177,704,-0.020275768
178,605,-0.02161572
178,794,0.022913957
179,746,-0.020315714
180,87,-0.02077683
180,337,-0.024932757
180,385,-0.020998048
180,402,-0.02035083
180,586,0.023153072
180,678,-0.025381006
180,679,0.033983663
180,715,-0.021751517
180,732,-0.021575768
180,783,0.025860395
181,737,-0.031376805
182,55,-0.021605676
182,350,0.020814002
182,609,0.025690123
183,28,0.02068475
183,164,-0.020912904
183,206,-0.02004272
183,279,-0.02175281
183,341,0.023715397
183,382,-0.02237168
183,410,-0.021352181
183,509,-0.020211456
183,560,0.023484433
183,588,-0.02650653
183,804,0.020317942
184,113,0.021098686
184,249,-0.020783233
184,299,0.023475345
184,411,-0.027484491
184,428,0.02182429
184,611,0.020638412
184,635,-0.022460783
184,719,0.021961149
184,721,-0.021531941
184,724,-0.02069132
185,33,0.021267787
185,81,-0.024630427
185,206,0.02758827
187,67,0.021953093
187,165,-0.020951144
187,290,0.030550823
187,322,-0.025975812
188,179,-0.027783576
188,243,0.025074782
189,69,-0.022456946
189,237,-0.022558842
189,239,-0.022251021
189,253,0.027008677
189,316,-0.022678735
189,353,0.022291753
189,390,-0.022612069
189,429,-0.02360004
189,544,-0.02221455
189,694,-0.022334134
190,26,0.02421193
190,66,-0.020592501
190,264,0.023273041
190,347,0.022342348
190,741,-0.021106932
191,14,0.020638749
191,31,-0.020690277
191,32,-0.022210682
191,85,0.020645212
191,177,0.022953296
191,204,0.024217237
191,242,-0.024350794
191,288,-0.021570608
191,393,-0.029713176
191,482,0.02505578
191,514,0.024177244
191,643,-0.021721344
191,678,-0.02205326
191,781,0.022674136
192,26,-0.021003276
192,75,0.03106207
192,94,-0.020630391
192,333,0.022034772
192,358,-0.020935165
192,473,0.027232261
192,494,0.025809823
193,69,0.023835659
193,194,0.02660053
193,424,-0.028931215
193,500,-0.02581851
193,535,-0.021780707
193,778,0.033220716
194,41,0.020598628
194,106,0.028344564
194,375,0.022215437
194,395,-0.02962627
194,673,-0.02395173
194,715,-0.022408683
194,725,-0.02614541
